제목,작업년도,클라이언트,형식,유튜브주소,썸네일 위치,
PlatformStereo-Vulture,2022,,뮤직비디오,https://youtu.be/Zf7cpES2a8Y,,ㅇ
경남권웰니스-통영+거제,2022,,공기관,https://youtu.be/bWaO71wy0Rs,,ㅇ
경남권웰니스-함양+산청,2022,,공기관,https://youtu.be/DaB8knZj1ME,,ㅇ
경남권웰니스-합천+거창,2022,,공기관,https://youtu.be/SBCYZpxJK90,,ㅇ
교육청-3월,2022,,"공기관, 콘텐츠",https://youtu.be/8Gjhgqr_vMU,,ㅇ
교육청-4월,2022,,"공기관, 콘텐츠",https://youtu.be/m_G1F0p2DAw,,ㅇ
교육청-5월,2022,,"공기관, 콘텐츠",https://youtu.be/0zMlC5b0jGE,,ㅇ
교육청-6월,2022,,"공기관, 콘텐츠",https://youtu.be/29IYBe9XoV8,,ㅇ
교육청-7월,2022,,"공기관, 콘텐츠",https://youtu.be/jsUb895WN7I,,ㅇ
교육청-8월,2022,,"공기관, 콘텐츠",https://youtu.be/Cv-VWKWZ0is,,ㅇ
교육청-11월-교육감o,2022,,"공기관, 콘텐츠",https://youtu.be/kIKvJpH1jnQ,,ㅇ
교육청-11월-하하서포터즈,2022,,"공기관, 콘텐츠",https://youtu.be/6x_864FtElc,,ㅇ
교육청-12월,2022,,"공기관, 콘텐츠",https://youtu.be/1fFRkCRK8qU,,ㅇ
교육청-13월,2022,,"공기관, 콘텐츠",https://youtu.be/vhKsOuNEBow,,ㅇ
드비샤,2022,,공기관,https://youtu.be/Vwir_glI5kE,,ㅇ
디자인패션필름-로익,2022,,"공기관, 콘텐츠",https://youtu.be/8vAIcnPik0s,,ㅇ
디자인패션필름-신시얼리준,2022,,"공기관, 콘텐츠",https://youtu.be/HZ1wTwmJEf4,,ㅇ
디자인패션필름-요클,2022,,"공기관, 콘텐츠",https://youtu.be/lWrvUlOhqeE,,ㅇ
디자인패션필름-이레귤러,2022,,"공기관, 콘텐츠",https://youtu.be/fOpmh13SfOU,,ㅇ
디자인패션필름-일루스트리스일루전,2022,,"공기관, 콘텐츠",https://youtu.be/knupmjZdB54,,ㅇ
디자인패션필름-컨투어송,2022,,"공기관, 콘텐츠",https://youtu.be/Bj58EjwxqiM,,ㅇ
디자인진흥원패션필름스케치,2022,,콘텐츠,https://youtu.be/_H8IWEVyaIo,,ㅇ
박형준IPMOA,2022,,공기관,https://youtu.be/MP2fpxEH1Rg,,ㅇ
박형준선거영상,2022,,공기관,https://youtu.be/xrlHhrumyzA,,ㅇ
부산연합기술지주(FLY),2022,,광고,https://youtu.be/sDsWFaLQkhs,,ㅇ
아시아영화학교-포럼,2022,,"공기관, 광고",https://youtu.be/SLjwxofiTk4,,ㅇ
아시아영화학교-피칭타이포-그룹1,2022,,"공기관, 광고",https://youtu.be/FNK8UWWS2dQ,,ㅇ
아시아영화학교-스케치국,2022,,"공기관, 광고",https://youtu.be/rMYd67jTzLE,,ㅇ
아시아영화학교-스케치영,2022,,"공기관, 광고",https://youtu.be/8UQkYFZUgZk,,ㅇ
아시아영화학교-홍보-그룹2,2022,,"공기관, 광고",https://youtu.be/40xiGK7BP8c,,ㅇ
안후윤작곡가세곡종편,2022,,스케치,https://youtu.be/xwAWJlznvx8,,ㅇ
전포공구길바이럴-1,2022,,"공기관, 광고",https://youtu.be/siS_M_gNpfQ,,ㅇ
전포공구길바이럴-2,2022,,"공기관, 광고",https://youtu.be/9MiDH_SIVIM,,ㅇ
청년의날-모션,2022,,모션,https://youtu.be/FcYnSdtk2pA,,ㅇ
청년의날-0,2022,,스케치,https://youtu.be/4fhckpc0HOw,,ㅇ
청년의날-1,2022,,스케치,https://youtu.be/Uk7YziGVlCE,,ㅇ
청년의날-2,2022,,스케치,https://youtu.be/kYrejeKM9Ak,,ㅇ
청년의날-3,2022,,스케치,https://youtu.be/banUo8Ivh3I,,ㅇ
청년의날-4,2022,,스케치,https://youtu.be/YBs-paJjylk,,ㅇ
청년의날-5,2022,,스케치,https://youtu.be/O4zHkhsoKqc,,ㅇ
청년의날-6,2022,,스케치,https://youtu.be/rhhXrCWnjXE,,ㅇ
청년의날-7,2022,,스케치,https://youtu.be/VBNBRJOWS7Y,,ㅇ
파나시아,2022,,광고,https://youtu.be/hXMGKKmNseI,,ㅇ
펫츠고,2022,,스케치,https://youtu.be/DARlagliN4M,,ㅇ
형제돼지국밥,2022,,광고,https://youtu.be/cdIhkdZbeRQ,,ㅇ
fillit,2022,,광고,https://youtu.be/pMlGZ_aX_ws,,ㅇ
fillit-KIDZ,2022,,광고,https://youtu.be/RzOBqrjM8Ug,,ㅇ
,,,,,,
나라수산,2023,,광고,https://youtu.be/BkqocIPW_lU,,ㅇ
동남권광역관광본부홍보영상,2023,,"공기관, 뮤직비디오",https://youtu.be/gSYS6vRE9CA,,ㅇ
릴레이인터뷰-강승윤영,2023,,"공기관, 콘텐츠",https://youtu.be/mtXgHXtMcUw,,ㅇ
릴레이인터뷰-강승윤국,2023,,"공기관, 콘텐츠",https://youtu.be/xqHydADF4II,,ㅇ
릴레이인터뷰-금난새영,2023,,"공기관, 콘텐츠",https://youtu.be/Lo4sW3ZxDyQ,,ㅇ
릴레이인터뷰-금난새국,2023,,"공기관, 콘텐츠",https://youtu.be/AT_7ZDDNQ9M,,ㅇ
릴레이인터뷰-손경식국,2023,,"공기관, 콘텐츠",https://youtu.be/aQCfPSpyLuo,,ㅇ
릴레이인터뷰-엄홍길국,2023,,"공기관, 콘텐츠",https://youtu.be/ffi9doPmkmY,,ㅇ
릴레이인터뷰-이창용영,2023,,"공기관, 콘텐츠",https://youtu.be/4BY5_8TelHE,,ㅇ
릴레이인터뷰-이창용국,2023,,"공기관, 콘텐츠",https://youtu.be/CUHeQgnl97s,,ㅇ
릴레이인터뷰-천종호영,2023,,"공기관, 콘텐츠",https://youtu.be/TeXNHhD_eM4,,ㅇ
릴레이인터뷰-천종호국,2023,,"공기관, 콘텐츠",https://youtu.be/-SXyd3VBZ0g,,ㅇ
릴레이인터뷰-타일러영,2023,,"공기관, 콘텐츠",https://youtu.be/5G1_C6UWEak,,ㅇ
릴레이인터뷰-타일러국,2023,,"공기관, 콘텐츠",https://youtu.be/2SR6SACcOFU,,ㅇ
릴레이인터뷰-한비야국,2023,,"공기관, 콘텐츠",https://youtu.be/4wMXshdJ9NE,,ㅇ
부경대링크강연-동명1,2023,,강의,https://youtu.be/33f949YO9l8,,ㅇ
부경대링크강연-동명2,2023,,강의,https://youtu.be/60XINnIlchg,,ㅇ
부경대링크강연-동서1,2023,,강의,https://youtu.be/oxcO4WGhaiI,,ㅇ
부경대링크강연-동서2,2023,,강의,https://youtu.be/T6NMSWxN684,,ㅇ
부경대링크강연-동의과1,2023,,강의,https://youtu.be/YCLOn6oStsM,,ㅇ
부경대링크강연-동의과2,2023,,강의,https://youtu.be/OM1LQ-B_3Rg,,ㅇ
부경대링크강연-동의1,2023,,강의,https://youtu.be/jh-39dTECtw,,ㅇ
부경대링크강연-동의2,2023,,강의,https://youtu.be/d-KgI50xHrA,,ㅇ
부경대링크강연-동의3,2023,,강의,https://youtu.be/sMPyTU9J9X4,,ㅇ
부경대링크강연-동주1,2023,,강의,https://youtu.be/ZZ8cfLqDAb4,,ㅇ
부경대링크강연-동주2,2023,,강의,https://youtu.be/DxpmLWgYHAA,,ㅇ
부경대링크강연-부경1,2023,,강의,https://youtu.be/Ga7VJRr9z90,,ㅇ
부경대링크강연-부경2,2023,,강의,https://youtu.be/CNOa0hPzn_E,,ㅇ
부경대링크강연-부산과1,2023,,강의,https://youtu.be/-s6iPUFYrLM,,ㅇ
부경대링크강연-부산과2,2023,,강의,https://youtu.be/wy176qLXf94,,ㅇ
